SWC_F_MDS_1,is_leap_year,Month,Year,Day,Percentile,flashdrought,FD_Period,slowdrought,SD_Period,date
38.4,False,1,2007,6,52.94117647058824,,,,,2007-01-06
39.5666,False,1,2007,11,58.82352941176471,,,,,2007-01-11
38.2958,False,1,2007,16,52.94117647058824,,,,,2007-01-16
40.4584,False,1,2007,21,70.58823529411765,,,,,2007-01-21
39.8334,False,1,2007,26,64.70588235294117,,,,,2007-01-26
36.7584,False,1,2007,31,35.294117647058826,,,,,2007-01-31
35.3458,False,2,2007,5,29.411764705882355,,,,,2007-02-05
35.4334,False,2,2007,10,29.411764705882355,,,,,2007-02-10
37.9582,False,2,2007,15,52.94117647058824,,,,,2007-02-15
40.833600000000004,False,2,2007,20,64.70588235294117,,,,,2007-02-20
40.2584,False,2,2007,25,58.82352941176471,,,,,2007-02-25
38.995799999999996,False,3,2007,2,52.94117647058824,,,,,2007-03-02
39.8666,False,3,2007,7,35.294117647058826,,,,,2007-03-07
39.8584,False,3,2007,12,35.294117647058826,,,,,2007-03-12
40.2418,False,3,2007,17,29.411764705882355,,,,,2007-03-17
41.7792,False,3,2007,22,52.94117647058824,,,,,2007-03-22
41.6152,False,3,2007,27,35.294117647058826,,,,,2007-03-27
41.5752,False,4,2007,1,47.05882352941176,,,,,2007-04-01
40.2416,False,4,2007,6,35.294117647058826,,,,,2007-04-06
42.0582,False,4,2007,11,35.294117647058826,,,,,2007-04-11
40.7584,False,4,2007,16,35.294117647058826,,,,,2007-04-16
41.771,False,4,2007,21,47.05882352941176,,,,before,2007-04-21
42.1418,False,4,2007,26,29.411764705882355,,,29.411764705882355,onset,2007-04-26
43.5918,False,5,2007,1,35.294117647058826,,,35.294117647058826,onset,2007-05-01
41.879200000000004,False,5,2007,6,35.294117647058826,,,35.294117647058826,onset,2007-05-06
38.745799999999996,False,5,2007,11,29.411764705882355,,,29.411764705882355,onset,2007-05-11
32.787400000000005,False,5,2007,16,17.647058823529413,,,17.647058823529413,onset,2007-05-16
29.045799999999996,False,5,2007,21,17.647058823529413,,,17.647058823529413,recovery,2007-05-21
35.2374,False,5,2007,26,29.411764705882355,,,29.411764705882355,recovery,2007-05-26
39.196000000000005,False,5,2007,31,38.88888888888889,,,,after,2007-05-31
30.4872,False,6,2007,5,33.33333333333333,,,,,2007-06-05
31.8002,False,6,2007,10,33.33333333333333,,,,,2007-06-10
23.8874,False,6,2007,15,16.666666666666664,,,,,2007-06-15
23.0708,False,6,2007,20,16.666666666666664,,,,,2007-06-20
30.3042,False,6,2007,25,38.88888888888889,,,,,2007-06-25
41.3876,False,6,2007,30,77.77777777777779,,before,,,2007-06-30
28.041800000000002,False,7,2007,5,38.88888888888889,38.88888888888889,onset,,,2007-07-05
21.7166,False,7,2007,10,16.666666666666664,16.666666666666664,onset,,,2007-07-10
21.0126,False,7,2007,15,16.666666666666664,16.666666666666664,recovery,,,2007-07-15
24.8336,False,7,2007,20,44.44444444444444,44.44444444444444,recovery,,,2007-07-20
18.9834,False,7,2007,25,16.666666666666664,,after,,,2007-07-25
17.7,False,7,2007,30,11.11111111111111,,,,,2007-07-30
17.0,False,8,2007,4,11.11111111111111,,,,,2007-08-04
16.7958,False,8,2007,9,11.11111111111111,,,,,2007-08-09
16.45,False,8,2007,14,11.11111111111111,,,,,2007-08-14
16.2876,False,8,2007,19,5.555555555555555,,,,,2007-08-19
15.9916,False,8,2007,24,5.555555555555555,,,,,2007-08-24
15.2082,False,8,2007,29,5.555555555555555,,,,,2007-08-29
16.575,False,9,2007,3,5.555555555555555,,,,,2007-09-03
18.3958,False,9,2007,8,16.666666666666664,,,,,2007-09-08
15.4332,False,9,2007,13,5.555555555555555,,,,,2007-09-13
15.15,False,9,2007,18,5.555555555555555,,,,,2007-09-18
16.4666,False,9,2007,23,11.11111111111111,,,,,2007-09-23
21.8294,False,9,2007,28,33.33333333333333,,,,,2007-09-28
26.595999999999997,False,10,2007,3,55.55555555555556,,,,,2007-10-03
19.9956,False,10,2007,8,11.11111111111111,,,,,2007-10-08
33.325,False,10,2007,13,66.66666666666666,,,,,2007-10-13
33.0082,False,10,2007,18,66.66666666666666,,,,,2007-10-18
28.129200000000004,False,10,2007,23,44.44444444444444,,,,,2007-10-23
25.5084,False,10,2007,28,16.666666666666664,,,,,2007-10-28
22.791800000000002,False,11,2007,2,5.555555555555555,,,,,2007-11-02
21.8584,False,11,2007,7,5.555555555555555,,,,,2007-11-07
32.321000000000005,False,11,2007,12,38.88888888888889,,,,,2007-11-12
31.0252,False,11,2007,17,27.77777777777778,,,,,2007-11-17
30.620799999999996,False,11,2007,22,27.77777777777778,,,,,2007-11-22
33.0874,False,11,2007,27,33.33333333333333,,,,,2007-11-27
35.3626,False,12,2007,2,38.88888888888889,,,,,2007-12-02
36.726600000000005,False,12,2007,7,38.88888888888889,,,,,2007-12-07
38.322199999999995,False,12,2007,12,44.44444444444444,,,,,2007-12-12
38.7334,False,12,2007,17,61.111111111111114,,,,,2007-12-17
40.1626,False,12,2007,22,72.22222222222221,,,,,2007-12-22
40.0958,False,12,2007,27,61.111111111111114,,,,,2007-12-27
39.062400000000004,True,1,2008,1,50.0,,,,,2008-01-01
42.725,True,1,2008,6,82.35294117647058,,,,,2008-01-06
41.8664,True,1,2008,11,76.47058823529412,,,,,2008-01-11
40.8832,True,1,2008,16,70.58823529411765,,,,,2008-01-16
39.9906,True,1,2008,21,58.82352941176471,,,,,2008-01-21
39.2166,True,1,2008,26,47.05882352941176,,,,,2008-01-26
39.7124,True,1,2008,31,58.82352941176471,,,,,2008-01-31
43.3168,True,2,2008,5,82.35294117647058,,,,,2008-02-05
41.475,True,2,2008,10,70.58823529411765,,,,,2008-02-10
42.5832,True,2,2008,15,82.35294117647058,,,,,2008-02-15
42.4582,True,2,2008,20,76.47058823529412,,,,,2008-02-20
42.90625,True,2,2008,25,76.47058823529412,,,,,2008-02-25
43.212599999999995,True,3,2008,2,82.35294117647058,,,,,2008-03-02
42.1376,True,3,2008,7,64.70588235294117,,,,,2008-03-07
43.4334,True,3,2008,12,58.82352941176471,,,,,2008-03-12
44.412400000000005,True,3,2008,17,70.58823529411765,,,,,2008-03-17
43.2584,True,3,2008,22,64.70588235294117,,,,,2008-03-22
44.0166,True,3,2008,27,70.58823529411765,,,,,2008-03-27
44.620799999999996,True,4,2008,1,76.47058823529412,,,,,2008-04-01
44.187599999999996,True,4,2008,6,70.58823529411765,,,,,2008-04-06
44.146,True,4,2008,11,70.58823529411765,,,,,2008-04-11
44.3876,True,4,2008,16,70.58823529411765,,,,,2008-04-16
45.541399999999996,True,4,2008,21,82.35294117647058,,,,,2008-04-21
44.787400000000005,True,4,2008,26,70.58823529411765,,,,,2008-04-26
45.0708,True,5,2008,1,58.82352941176471,,,,,2008-05-01
45.5332,True,5,2008,6,82.35294117647058,,,,,2008-05-06
45.20399999999999,True,5,2008,11,82.35294117647058,,,,,2008-05-11
44.5248,True,5,2008,16,64.70588235294117,,,,,2008-05-16
42.962599999999995,True,5,2008,21,64.70588235294117,,,,,2008-05-21
45.7584,True,5,2008,26,88.23529411764706,,,,,2008-05-26
42.962599999999995,True,5,2008,31,77.77777777777779,,,,,2008-05-31
44.379200000000004,True,6,2008,5,83.33333333333334,,,,,2008-06-05
45.8168,True,6,2008,10,88.88888888888889,,,,,2008-06-10
43.55,True,6,2008,15,83.33333333333334,,,,,2008-06-15
40.1626,True,6,2008,20,77.77777777777779,,,,,2008-06-20
43.9208,True,6,2008,25,83.33333333333334,,,,,2008-06-25
44.6126,True,6,2008,30,83.33333333333334,,,,,2008-06-30
43.3502,True,7,2008,5,83.33333333333334,,,,,2008-07-05
41.5918,True,7,2008,10,72.22222222222221,,,,,2008-07-10
33.5666,True,7,2008,15,66.66666666666666,,,,,2008-07-15
35.4956,True,7,2008,20,72.22222222222221,,,,,2008-07-20
45.7584,True,7,2008,25,94.44444444444444,,,,,2008-07-25
47.449799999999996,True,7,2008,30,88.88888888888889,,,,,2008-07-30
41.153999999999996,True,8,2008,4,88.88888888888889,,,,,2008-08-04
32.7916,True,8,2008,9,72.22222222222221,,,,,2008-08-09
30.470799999999997,True,8,2008,14,61.111111111111114,,,,,2008-08-14
33.465999999999994,True,8,2008,19,77.77777777777779,,,,,2008-08-19
30.7874,True,8,2008,24,72.22222222222221,,,,,2008-08-24
39.9082,True,8,2008,29,94.44444444444444,,,,,2008-08-29
45.004200000000004,True,9,2008,3,100.0,,,,,2008-09-03
43.825,True,9,2008,8,100.0,,,,,2008-09-08
48.8292,True,9,2008,13,94.44444444444444,,,,,2008-09-13
44.504200000000004,True,9,2008,18,94.44444444444444,,,,,2008-09-18
41.754200000000004,True,9,2008,23,88.88888888888889,,,,,2008-09-23
41.6958,True,9,2008,28,88.88888888888889,,,,,2008-09-28
41.720600000000005,True,10,2008,3,88.88888888888889,,,,,2008-10-03
45.2042,True,10,2008,8,94.44444444444444,,,,,2008-10-08
41.9042,True,10,2008,13,88.88888888888889,,,,,2008-10-13
40.442,True,10,2008,18,94.44444444444444,,,,,2008-10-18
44.4082,True,10,2008,23,94.44444444444444,,,,,2008-10-23
43.55,True,10,2008,28,94.44444444444444,,,,,2008-10-28
42.953199999999995,True,11,2008,2,94.44444444444444,,,,,2008-11-02
